screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir,ze/zem
bartoninthebean,Jacob,they/them,"░░░░▄▄▄▄▀▀▀▀▀▀▀▀▄▄▄▄▄▄
░░░░█░░░░▒▒▒▒▒▒▒▒▒▒▒▒░░▀▀▄
░░░█░░░▒▒▒▒▒▒░░░░░░░░▒▒▒░░█
░░█░░░░░░▄██▀▄▄░░░░░▄▄▄░░░█
░▀▒▄▄▄▒░█▀▀▀▀▄▄█░░░██▄▄█░░░█
█▒█▒▄░▀▄▄▄▀░░░░░░░░█░░░▒▒","if someone calls me a ""non-binary pal"" or a ""theybie"" i will throw them at a hornet nest",no,no,yes,no,no,no,
candycheekss,candy 🍭,PNW ♡,24 | 18+ nsfw | non-binary hottie | they/them | 🏳️‍🌈🇰🇳| dm for buyers | customs available | tip me $candycheekss,@yourstrulylolab Thank you Theybie 💗💗,no,no,yes,no,no,no,
Awkotacofreshie,Loooooove Marie,,💀🐇☠️👻(They//HIM) Actress. Artist. Activist. Just a bro Freaky Friday trapped in an insta wannabe 💓✌🏾Witch Bitch ✨🌹🌜💫 || Venmo: @nonbinarynerd45,@jackieaina $NonbinaryNerd45 NAIRA!!! Help a little theybie pay their rent NAIRA!! Pls 💗,no,no,yes,no,no,no,
iKillRee,E. Norma Stits,he/ze/shy,"keith and sai kys .. its me, Daniel Seavey, from Why Don't We.",@rekirv exactly! how are you a theybie of you dont use they/them...,yes,no,no,no,no,,yes
CatchThisLOVE,Thisis25,"Detroit, MI",ALIVE IN BLACK DETROIT ✊🏽 CULTURAL WORKER 🌍#BLACKFUTURIST 🤩 THEY TELL ME I’M FREEDOM 🇭🇹,RT @CatchThisLOVE: Still looking to go half on a baby and a liberation center with someone’s son or daughter or theybie.,no,no,yes,no,no,no,
jooaretheone,☕︎︎ 𝑘𝑖𝑡 GOT THEIR ASTRO RING,𝐦𝐮𝐥𝐭𝐢 !,ʕ •ᴥ•ʔ 𝙠𝙥𝙤𝙥 𝙨𝙝𝙞𝙩𝙥𝙤𝙨𝙩𝙞𝙣𝙜 𝙖𝙣𝙙 𝙬𝙝𝙖𝙩𝙚𝙫𝙚𝙧 (𝙩𝙝𝙚𝙮/𝙩𝙝𝙚𝙢),@httpallisonnn @hard_jewelry can we make a hard theybie gc 😫‼️,no,no,no,no,no,no,
httpallisonnn,𝔞𝔩𝔩𝔦 𝔥𝔞𝔰 𝔟𝔬𝔱𝔥 𝔤𝔯𝔦𝔩𝔩 𝔯𝔦𝔫𝔤𝔰 🧤,they/them 🏳️‍🌈,everyone’s favorite case | ♊︎ | teen romance🤍,@hard_jewelry hard theybie summer ‘21,no,no,yes,no,no,no,
LongnoseGarfish,Cindi Mayweather,Swag,{*_*}(^•^)[•_•](^•^){*_*},@VioletYea called me a theybie today,no,no,no,no,no,no,
WangxianBond,isis 🌸 binghe love hours,she/they | 30 | nsfw 🔞,"ceo of the bichenfucker club • part time writer and artist, full time clown • mxtx hell • eng/esp",@DorianDarkstar My lovely theybie 🥰 we gonna look like such a cool duo when we go to forks,no,yes,yes,no,no,no,
monkelvr,melon,ciggie 🦝,whos up?,i love my theybie 🖤🥀,no,no,no,no,no,no,
Bi_Calendar,Bisexual Community,Multinational,🌏 international tumblr group 🇭🇹 🇭🇰 🇨🇺 🇸🇬 ... 🇺🇳 posting/retweeting By & For ALL #Bisexual+ #Queer #SGL & #Nonmonosexual #MGA Community(s) everywhere 💗💜💙,RT @aidens_cove: @cum_binary so tired of people getting mad when i say i’m non-binary bc im not the white frog loving androgynous theybie i…,no,no,no,no,no,no,
ProximalPraxis,a material girl,,immaterial world,"@bimboubermensch The idea that Bowie and Prince, sexy slim dudes who present with feminine aesthetic affectations,… https://t.co/hm2eNYhU5o",no,no,no,no,no,no,
Mobango94,Phil,"New Jersey, USA",Spring Break Forever Bitches,@flowershark @irishflwr84 @Jesibary @govkristinoem Oh you’re an NPR theybie.. yikes,no,no,no,no,no,no,
thorisotlapuu,"damn, double homicide☥",Jhb,"a soft perpetual thing.a 🏳️‍🌈. she/her. a storyteller🎬
                                                   
°IG:https://t.co/zFzPZXV7eh","week 15 revelation:
thing about healthy relationships is that you need to actually want them and remember you deser… https://t.co/AUqRsalASO",no,yes,no,no,no,no,
BUCKYSHlELD,skye loves sam wilson, they/he ?? | 16 | carrd byf,#PERCABETH: We're staying together. You're not getting away from me. Never again.,I JUST SAW SOMEONE CALL SOMEONE A THEYBIE WHAT THE,yes,no,yes,no,no,no,
F1amingoman,🅱️rick,,vibin he/him,@cloudylauren_ showstopper talented theybie in the making,yes,no,no,no,no,no,
prettybutl0c0,bicho necio,(they/he),I can count up to 1312 // PhD in the Homosexual Rigmarole // @lalalateefahh 🖤,No but fr if someone called me a theybie in real life I’d collapse,yes,no,yes,no,no,no,
ThePharaohRon,Ron Assaf,"Greenville, NC",ΣΤΓ ΔΑ • ECU Engineering,@G2Swagi What the hells a theybie?,no,no,no,no,no,no,
G2Swagi,FKA Swagi,"Your Head, Rent Free","Retired Rager | Music Promo, Distribution, Licensing, Branding: @1VAL0R",This is how “Theybie” parents be dressing their kids 😭 https://t.co/vsFhwxw4zR,no,no,no,no,no,no,
mkcwtf,MKC,,@enzitusss,"@VY_Dab @spouxo its not LMAOOOO, its theybie transphobe",no,no,no,no,no,no,
mkcwtf,MKC,,@enzitusss,@spouxo im called a theybie please use the correct pronoun UwU,no,no,no,no,no,no,
Mob278,Mob,,https://t.co/PIQjg2lu9h,@beast4s imagine just borning a child and mfs just say sum shit like theybie im knocking the shit outta yo ass,no,no,no,no,no,no,
chapo_diabl0,d|^3LA,333,she / they kärlek,@vxnusv Love you my theybie baby🖤,no,yes,yes,no,no,no,
officialmarsp,mars🔌,"Riverside, CA",artist/ j🤍/ socal / ig: officialmarsp/ she/her,@vxnusv love you theybie,no,yes,no,no,no,no,
