screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir,ze/zem
leakylike,Marjorie Hutchins,Dinosaur,"ever curious, sometimes dismayed, always hopeful.... woman.
(adult human female)",RT @CEJacksonLaw: “I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a result of m…,no,no,no,no,no,no,
STILLTish,Patrick🕸,Gilead,#AdultHumanFemale #SexualOrientation is a Legally protected characteristic so is SEX. Nobody is born in the wrong body.,RT @CEJacksonLaw: “I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a result of m…,no,no,no,no,no,no,
WackyPidgeon,Nah. 🐍💚🤍💜🟥Angry lesbian velociraptor ❤️,,"Cats. Wine. GC RF. Brit-adjacent. Supermassive Lezzer. Calling out the Emperor’s new clothes is not a -phobia #IStandWithJKRowling 🐍 Hissss, not cis. 🐍",RT @CEJacksonLaw: “I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a result of m…,no,no,no,no,no,no,
janeclarejones,Dr. Jane Clare Jones 🦕,"Brighton, UK",Writer. Philosopher. Feminist. Princeologist. Daughter of the witches they forgot to burn. Founder @fem_thought. Ed @radical_notion. #FemaleRageArticulator,RT @CEJacksonLaw: “I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a result of m…,no,no,yes,no,no,no,
pixeledxxx,"K̸a̶i̴b̸a̶f̴u̸s̷, socialist say10ist",The Devil’s Den,transmasc neurodivergent mentally ill villain liker and malewife to @getvalentined. bein’ a bitch is my kink. ask me shit: https://t.co/n47i5Z3l9g,"Trans + Non-binary addition for the gays cuz 

Transman he/him with secret sub-gender terrifying Eldritch female go… https://t.co/vwSMBYbKk0",no,no,no,no,no,no,
emkayohkay,Em Kay,driving past the Stop & Shop,i'm real sorry about whatever happened to you,"@And4women @feline_charm @DJFLevesley Which is plenty disturbing, but the social pressure on gay men that I've seen… https://t.co/TTPqgGAgTQ",no,no,no,no,no,no,
cervixen,Cervixen of the Clitorians,Canada,"Pro-biology. Pro-nature. Anti-authoritarian.
Women have a right to be free from men.

I autoblock people with cis and self-declared pronouns in bio.",@ImagFamValues @spikesandspokes @SumunLPendakur @Permanentlypis1 @MartysBrother @MisterFawx @thesarahkelly… https://t.co/Iz38QOpD3e,no,no,no,no,no,no,
RAhardplace,Rock&aHardPlace,,"Scientist, lifelong progressive, human rights advocate, parent. No evidence supports rapid medical transition for the new cohort of teens who self-id as trans.",RT @CEJacksonLaw: “I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a result of m…,no,no,no,no,no,no,
xxdr_zombiexx,💥 Doc Zombie💥,The Low Road™,"I AM a pacifist - just not a very good one,

#AmericaIsDone","@yinyangvet1 I'm over 6 feet tall, scary looking, young transman was terrified to walk down a locked hall with me.… https://t.co/hrX1M2FI1z",no,no,no,no,no,no,
GaryJPowell,Gary Powell,Pronouns in bio = blocked,Research Fellow for SOGI at the Bow Group. European Special Consultant to the Center for Bioethics and Culture. All tweets personal views only.,RT @CEJacksonLaw: “I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a result of m…,no,no,no,no,no,no,
revenantscholar,M@ 🦃 thankful 🦃,,just on Twitter encountering cognitive dissidents,@HexManiacZach What you're describing there is practically just that one transman drag queen who went on Drag Race… https://t.co/8zNCIE0h8Y,no,no,no,no,no,no,
Calliandra33,callie,,"he/she/they - 
fe3h, fe fates, fe awakening - 
🔞nsfw content, minors dnf🔞 - 
I also have tumblr if you like @calliandra33 and a priv on twt @callie18648632",RT @what_a_knight: I am a transman and I live in an incredibly unsupportive household where I have to force myself to live in the closet. T…,yes,yes,yes,no,no,no,
joslavellan,just a lil guy @ comms open,"Minrathous, Tevinter Imperium ",✨ #1 Fenris Stan ❤️| Jacob ☁️ 20M | Mage Rights 🌟| Artist/Cosplayer | System | Commissions Open 💕 | moving art to @peachhhteasart,@RachChamp_ I’m a transman and I want to get my tubes tied or whatever but I’m afraid someone’s gonna say something… https://t.co/iCfcgb8hxr,no,no,no,no,no,no,
cervixen,Cervixen of the Clitorians,Canada,"Pro-biology. Pro-nature. Anti-authoritarian.
Women have a right to be free from men.

I autoblock people with cis and self-declared pronouns in bio.",@ImagFamValues @SumunLPendakur @Permanentlypis1 @MartysBrother @MisterFawx @thesarahkelly @NeolithicSheep I'm surpr… https://t.co/M00rP1e0wD,no,no,no,no,no,no,
zumfunkraum,Øttäl,"Murmansk, Russia","Ya mama don't dance and ya daddy don't rock n roll

Pronouns: ze/zyr/zyrs/zyrself","@AuroraSkylark @lesleyasom @PeterTatchell But to be a transwoman, you must be a man beforehand. And to be a transma… https://t.co/4uHa83vIhk",no,no,no,no,no,,yes
DictionaryAge,Dictionary For the Modern Age,,Adding definitions of commonly used words and phrases currently missing from dictionaries.,"SOCIAL CONSTRUCT to OBSCURE REALITY: ""transwoman"" ""transman""

THE REALITY: males identifying as trans, females iden… https://t.co/LHPuT5G4Ny",no,no,no,no,no,no,
CreeAnt,Ms Cree Ant 🦖,Not in Kansas any more,"Enough is enough. Don’t ‘cis’ me. My pronouns? blah/ wah/nah. Mum, daughter, sister, grandma, lesbian 🦖Buoyed up by wonderful women 💚🤍💜","RT @BoozeAndFagz: @OwenJones84  Further to the Freddy thing, would you have sex with a *transman* who has a vagina? You could have a baby,…",no,no,no,no,no,no,
JeanneDeauxSays,Jeanne Deaux 💛🤍💜🦖🇺🇲,"in a phone app, pontificating","😎

Saying my piece. Take it or leave it.

#TERFinUSA","RT @SuperLesbiannn: @genderisharmful If I pretend I'm a transman now to get a hysterectomy and be finally sterile, my health care would cov…",no,no,no,yes,no,no,
RayYoWTF,🎃 ᚱᚨᚤᛗᛟᚾᛞ 🎃,"Bakersfield, CA","Homosexual▪️Pagan▪️Politically Homeless▪️Gender Critic▪️Opinions & views are all mine, never influenced. May “trigger” you with facts.▪️#SexNotGender▪️Hea/then","“I can’t believe that no gay man wants to date me. Ugh, “cis” gays are the WORST! I’m enough male just as much as y… https://t.co/kZx9iQWZ98",no,no,no,no,no,no,
CEJacksonLaw,Candice Jackson,"Marin County, CA","Mom of twin 8-yr-olds; Attorney (& married to an attorney - poor kids!); fmr. Acting Asst Sec for Civil Rights, and Dep General Counsel, at US Dept of Education",“I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a resul… https://t.co/ZsLALBdqC2,no,no,no,no,no,no,
kimsan23,Fire(L De Ubago-Sia),,"火-夏金山 Co-Founder, @SideBPH

Tsinoy Bisexual Trans man lgBt advocate 🏳️‍⚧️.
writer, artist, corporate slave, public speaker","My barber noticed this. Never told him I was using minoxidil, he saw the changes! 21 days on #minoxidil, changes vi… https://t.co/zmFHcFmF3S",no,no,no,no,no,no,
sexbasedrights,Marilyn Irish,Terf Island,🟥 🦖Preferred  pronouns: Are/Stupid. 'Cis' is actual literal violence. Damn right I'm hoarding my rights Lammy. #NoThankYou #IStandWithMaya #ThisIsNotADrill,"RT @BoozeAndFagz: @OwenJones84  Further to the Freddy thing, would you have sex with a *transman* who has a vagina? You could have a baby,…",no,no,no,no,no,no,
Michael_AW77,Michael_A,,"“Only the mob and the elite can be attracted by the momentum of totalitarianism itself. The masses have to be won by propaganda.”
― Hannah Arendt","RT @BoozeAndFagz: @OwenJones84  Further to the Freddy thing, would you have sex with a *transman* who has a vagina? You could have a baby,…",no,no,no,no,no,no,
lilyloola80,Tyranno-cervix HEX,,RadFem. Because women’s sex-based reality matters.,"RT @BoozeAndFagz: @OwenJones84  Further to the Freddy thing, would you have sex with a *transman* who has a vagina? You could have a baby,…",no,no,no,no,no,no,
Susan_Larson_TN,Susan Larson ♀️🏳️‍🌈🏳️‍⚧️,"Clarksville, TN","Founder of Susan's Place Transgender Resources, world's largest #transgender website. A #PostOp #Trans #woman living her #AuthenticLife in #Tennessee. #LGBTQIA",#SupremeCourt Allows #Ruling in Favor of #California #TransMan to Stand. This means #EvanMinton's case against… https://t.co/PzulMQUpVp,no,no,no,no,no,no,
DuoGetsRekt,Ava,She/Her 🏳️‍⚧️ ,Women 😌,"@GreyJediRyan trans man = good
transman = bad bc it delegitimizes our gender",no,yes,no,no,no,no,
LittleGracie5,Little Gracie,,"agere ( non-kink age regression)
Regression age/s:2-3","RT @faireeluvv: ʚ ₍ᐢ⸝⸝› ‹⸝⸝ᐢ₎ hiii! I'm klark! ɞ

꒰ 💒꒱ he/it/scribble + https://t.co/fNH09vyBfL
-🎀- petre + cg to the cutest little baby.…",no,no,no,no,no,no,
Claire54783043,Claire,,,@TaliaTooth @MsCCollins1 @freddymcconnell @Transsomething @thetimes @IpsoNews Why do you think Freddy needs to answ… https://t.co/LdgUy8TOiy,no,no,no,no,no,no,
qc3173,QC3173,"Swansea, Wales","Raised working class, made a bit of cash, still working class. Ex labour voter, now a Conservative to the core.","RT @BoozeAndFagz: @OwenJones84  Further to the Freddy thing, would you have sex with a *transman* who has a vagina? You could have a baby,…",no,no,no,no,no,no,
